State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9594969805407926	0.03030968127422608	0.004925208060994954	0.0023707210731590263	4.133165710716184E-5	0.0	0.0	0.002128706921893478	4.186070617145621E-4	0.0	0.0	1.0575055587715059E-5	0.0	2.9818835452438366E-4	0.0
2	0.01145888469511352	0.9470442309147699	0.003191029732533556	3.19119315174676E-4	1.6236035826891013E-4	0.0	5.028092975772914E-4	0.03435055400278096	1.4835412075180556E-4	5.838176480467102E-4	2.7461133669377653E-5	0.0	9.881536992609231E-4	0.0012232250820524324	0.0
3	0.008504338709329179	0.0144462287808057	0.9218609740070559	0.053833468966708764	0.001055009821906753	0.0	2.238964098257405E-5	2.2040952666026086E-5	0.0	0.0	4.709283675249006E-5	0.0	0.0	2.084562837927817E-4	0.0
4	0.009451821640267316	0.0035066288266414358	0.11692292555963688	0.8028251464505312	0.05416885927887544	1.236778876341046E-4	0.0	0.009144567816821233	0.0037847283120713286	0.0	0.0	0.0	0.0	7.164422752119284E-5	0.0
5	2.393251367882661E-4	0.003220528434302173	0.005500600104074643	0.1278301803651823	0.7603296432230925	0.00484281798433913	9.280991717133703E-6	0.006179142054088156	0.009968365267445774	0.005056854407944117	0.0768035950542877	0.0	0.0	1.9666976738243428E-5	0.0
6	0.0	0.0	1.135124286072881E-5	4.3265421713922504E-4	0.003778339814868684	0.5873417549083177	0.009417586626658172	0.2545436181548824	0.0044984147616118466	0.08676192688087268	7.216313687244261E-4	0.0	0.05187187995989287	1.417798055818593E-4	4.790622585892199E-4
7	7.55315420008709E-5	0.007326153319728444	6.87898784649059E-5	1.297957283343232E-5	2.1504977586002684E-5	0.009578348248571532	0.7436081792645123	0.016143647706127678	0.0	0.044085111960958406	0.001460320413743805	0.16051307567903134	0.015194863144668433	0.001686626922042566	2.248673697301931E-4
8	0.0030317657435204293	0.127727786861231	0.0	0.0035269801376063004	0.0010166458518997507	0.06174965520181931	0.003361823177559055	0.7129030033674985	0.024176835564917957	0.0012605988823039382	0.0	0.009349002546674829	0.04992619160957092	8.936808842812005E-4	0.001076030171116672
9	0.0030227749672006345	0.002641284342201445	0.0	0.00771805514984563	0.009361487443161497	0.006610637755482845	0.0	0.1295665183906474	0.8185441568433932	0.020762162777077778	0.0011448137728566287	0.0	0.0	6.281085581330577E-4	0.0
10	1.496439567551535E-5	0.009010217816169829	0.0	0.0	0.0037240907476807175	0.09527993411568964	0.04629330860373341	0.005292475223403589	0.017800880173710364	0.7468345799114489	0.07363914935856457	0.0	0.001965028236925354	3.439251307461762E-6	1.4193216569057015E-4
11	0.0	5.146679708480997E-4	1.5521189056379598E-4	0.0	0.09741583527990817	0.0017600301185391816	0.0023002313397396668	5.387291202301189E-4	0.0014018341102393056	0.11369657475684831	0.7748040230236749	0.0	3.13251366518113E-4	0.007099611022890327	0.0
12	0.0	0.0	0.0	0.0	0.0	2.1854753174694195E-7	0.013512908997315439	0.00341298041050672	0.0	0.0	0.0	0.9499677736186325	0.03209128621647425	7.952351090399333E-4	2.195971004994628E-4
13	0.0	1.7437071341431723E-4	0.0	0.0	0.0	6.367588534410351E-4	1.8066108699815706E-4	0.0025525522941807093	0.0	2.2205595023011774E-5	6.601663502771623E-7	0.004457497051246164	0.989603400304537	1.6431209287755372E-5	0.0023554627255213054
14	3.506937793191671E-4	0.00351377876679496	1.807759297354168E-4	1.1551077365034707E-5	0.0	5.0619353968678015E-5	2.920031703011402E-4	7.6375722557067E-4	6.771575382702329E-5	0.0	8.055198521617625E-4	0.0017254044146433132	3.6978399664838946E-4	0.8656948920019936	0.12617350467767072
15	0.0	0.0	0.0	0.0	0.0	3.1904711724024454E-5	2.6469480447861644E-5	4.975221876696618E-4	2.960992238126609E-6	1.4096057502503754E-5	0.0	2.0462027970285314E-4	0.018727909424390548	0.06346234494417059	0.9170321719221539
