15	10	E	-9021144.568902541	200
transitionprobs	11	5	0.09741583527990817
transitionprobs	11	6	0.0017600301185391816
transitionprobs	11	7	0.0023002313397396668
transitionprobs	11	8	5.387291202301189E-4
transitionprobs	11	9	0.0014018341102393056
transitionprobs	11	10	0.11369657475684831
transitionprobs	11	11	0.7748040230236749
transitionprobs	11	12	0.0
transitionprobs	11	13	3.13251366518113E-4
transitionprobs	11	14	0.007099611022890327
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	2.1854753174694195E-7
transitionprobs	12	7	0.013512908997315439
transitionprobs	12	8	0.00341298041050672
transitionprobs	12	9	0.0
transitionprobs	12	10	0.0
transitionprobs	12	11	0.0
transitionprobs	12	12	0.9499677736186325
transitionprobs	12	13	0.03209128621647425
transitionprobs	12	14	7.952351090399333E-4
transitionprobs	12	15	2.195971004994628E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	1.7437071341431723E-4
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	6.367588534410351E-4
transitionprobs	13	7	1.8066108699815706E-4
transitionprobs	13	8	0.0025525522941807093
transitionprobs	13	9	0.0
transitionprobs	13	10	2.2205595023011774E-5
transitionprobs	13	11	6.601663502771623E-7
transitionprobs	13	12	0.004457497051246164
transitionprobs	13	13	0.989603400304537
transitionprobs	13	14	1.6431209287755372E-5
transitionprobs	13	15	0.0023554627255213054
transitionprobs	14	1	3.506937793191671E-4
transitionprobs	14	2	0.00351377876679496
transitionprobs	14	3	1.807759297354168E-4
transitionprobs	14	4	1.1551077365034707E-5
transitionprobs	14	5	0.0
transitionprobs	14	6	5.0619353968678015E-5
transitionprobs	14	7	2.920031703011402E-4
transitionprobs	14	8	7.6375722557067E-4
transitionprobs	14	9	6.771575382702329E-5
transitionprobs	14	10	0.0
transitionprobs	14	11	8.055198521617625E-4
transitionprobs	14	12	0.0017254044146433132
transitionprobs	14	13	3.6978399664838946E-4
transitionprobs	14	14	0.8656948920019936
transitionprobs	14	15	0.12617350467767072
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	3.1904711724024454E-5
transitionprobs	15	7	2.6469480447861644E-5
transitionprobs	15	8	4.975221876696618E-4
transitionprobs	15	9	2.960992238126609E-6
transitionprobs	15	10	1.4096057502503754E-5
transitionprobs	15	11	0.0
transitionprobs	15	12	2.0462027970285314E-4
transitionprobs	15	13	0.018727909424390548
transitionprobs	15	14	0.06346234494417059
transitionprobs	15	15	0.9170321719221539
emissionprobs	1	0	H2az	0	0.9985475048896354
emissionprobs	1	0	H2az	1	0.0014524951103646795
emissionprobs	1	1	H3k04me1	0	0.9913226532564287
emissionprobs	1	1	H3k04me1	1	0.00867734674357146
emissionprobs	1	2	H3k09me3	0	0.9984612662756165
emissionprobs	1	2	H3k09me3	1	0.00153873372438343
emissionprobs	1	3	H3k27ac	0	0.997475483061207
emissionprobs	1	3	H3k27ac	1	0.0025245169387928465
emissionprobs	1	4	H3k27me3	0	0.9996761019707016
emissionprobs	1	4	H3k27me3	1	3.23898029298381E-4
emissionprobs	1	5	H3k36me3	0	0.5518728685834059
emissionprobs	1	5	H3k36me3	1	0.44812713141659405
emissionprobs	1	6	H3k4me2	0	0.9998186616241646
emissionprobs	1	6	H3k4me2	1	1.8133837583543134E-4
emissionprobs	1	7	H3k4me3	0	0.9999012760980697
emissionprobs	1	7	H3k4me3	1	9.872390193025694E-5
emissionprobs	1	8	H3k79me2	0	0.9778713960039832
emissionprobs	1	8	H3k79me2	1	0.02212860399601679
emissionprobs	1	9	H3k9ac	0	0.9966590630144464
emissionprobs	1	9	H3k9ac	1	0.0033409369855536388
emissionprobs	2	0	H2az	0	0.9960465237521471
emissionprobs	2	0	H2az	1	0.003953476247852982
emissionprobs	2	1	H3k04me1	0	0.9976745968165159
emissionprobs	2	1	H3k04me1	1	0.0023254031834840498
emissionprobs	2	2	H3k09me3	0	0.9991716261734086
emissionprobs	2	2	H3k09me3	1	8.283738265914214E-4
emissionprobs	2	3	H3k27ac	0	0.9994993907307701
emissionprobs	2	3	H3k27ac	1	5.006092692298903E-4
emissionprobs	2	4	H3k27me3	0	0.9995929487978533
emissionprobs	2	4	H3k27me3	1	4.0705120214670277E-4
emissionprobs	2	5	H3k36me3	0	0.9759569804711201
emissionprobs	2	5	H3k36me3	1	0.024043019528879894
emissionprobs	2	6	H3k4me2	0	0.9998138726737553
emissionprobs	2	6	H3k4me2	1	1.861273262445927E-4
emissionprobs	2	7	H3k4me3	0	0.9999272415837143
emissionprobs	2	7	H3k4me3	1	7.275841628571159E-5
emissionprobs	2	8	H3k79me2	0	0.9916052981588863
emissionprobs	2	8	H3k79me2	1	0.008394701841113655
emissionprobs	2	9	H3k9ac	0	0.9988002896699827
emissionprobs	2	9	H3k9ac	1	0.0011997103300173241
emissionprobs	3	0	H2az	0	0.9977819634782619
emissionprobs	3	0	H2az	1	0.002218036521738089
emissionprobs	3	1	H3k04me1	0	0.9731066933432095
emissionprobs	3	1	H3k04me1	1	0.026893306656790364
emissionprobs	3	2	H3k09me3	0	0.9905715393255605
emissionprobs	3	2	H3k09me3	1	0.009428460674439573
emissionprobs	3	3	H3k27ac	0	0.9969786017853706
emissionprobs	3	3	H3k27ac	1	0.003021398214629472
emissionprobs	3	4	H3k27me3	0	0.9997243980816027
emissionprobs	3	4	H3k27me3	1	2.756019183971742E-4
emissionprobs	3	5	H3k36me3	0	0.8638815142054953
emissionprobs	3	5	H3k36me3	1	0.13611848579450472
emissionprobs	3	6	H3k4me2	0	0.9993263180953186
emissionprobs	3	6	H3k4me2	1	6.736819046814204E-4
emissionprobs	3	7	H3k4me3	0	0.9999061889051111
emissionprobs	3	7	H3k4me3	1	9.381109488896809E-5
emissionprobs	3	8	H3k79me2	0	0.3593716109431638
emissionprobs	3	8	H3k79me2	1	0.6406283890568363
emissionprobs	3	9	H3k9ac	0	0.9968973314781159
emissionprobs	3	9	H3k9ac	1	0.003102668521884079
emissionprobs	4	0	H2az	0	0.9931817719597805
emissionprobs	4	0	H2az	1	0.006818228040219442
emissionprobs	4	1	H3k04me1	0	0.17058183306518918
emissionprobs	4	1	H3k04me1	1	0.8294181669348109
emissionprobs	4	2	H3k09me3	0	0.9962726520289493
emissionprobs	4	2	H3k09me3	1	0.0037273479710505943
emissionprobs	4	3	H3k27ac	0	0.9034301136769888
emissionprobs	4	3	H3k27ac	1	0.09656988632301128
emissionprobs	4	4	H3k27me3	0	0.9996094814496548
emissionprobs	4	4	H3k27me3	1	3.905185503451004E-4
emissionprobs	4	5	H3k36me3	0	0.8040852625276205
emissionprobs	4	5	H3k36me3	1	0.19591473747237945
emissionprobs	4	6	H3k4me2	0	0.8975115931945598
emissionprobs	4	6	H3k4me2	1	0.10248840680544039
emissionprobs	4	7	H3k4me3	0	0.9932722603500582
emissionprobs	4	7	H3k4me3	1	0.006727739649941657
emissionprobs	4	8	H3k79me2	0	0.1520551692032663
emissionprobs	4	8	H3k79me2	1	0.8479448307967337
emissionprobs	4	9	H3k9ac	0	0.9549790763382223
emissionprobs	4	9	H3k9ac	1	0.04502092366177766
emissionprobs	5	0	H2az	0	0.9613015308291613
emissionprobs	5	0	H2az	1	0.0386984691708388
emissionprobs	5	1	H3k04me1	0	0.1312473805577847
emissionprobs	5	1	H3k04me1	1	0.8687526194422153
emissionprobs	5	2	H3k09me3	0	0.9978210726525122
emissionprobs	5	2	H3k09me3	1	0.002178927347487769
emissionprobs	5	3	H3k27ac	0	0.5849577343301141
emissionprobs	5	3	H3k27ac	1	0.41504226566988583
emissionprobs	5	4	H3k27me3	0	0.9874558998707115
emissionprobs	5	4	H3k27me3	1	0.0125441001292886
emissionprobs	5	5	H3k36me3	0	0.885196132590367
emissionprobs	5	5	H3k36me3	1	0.11480386740963296
emissionprobs	5	6	H3k4me2	0	0.07281957479155703
emissionprobs	5	6	H3k4me2	1	0.9271804252084429
emissionprobs	5	7	H3k4me3	0	0.7014449293176559
emissionprobs	5	7	H3k4me3	1	0.29855507068234405
emissionprobs	5	8	H3k79me2	0	0.05524490161964556
emissionprobs	5	8	H3k79me2	1	0.9447550983803545
emissionprobs	5	9	H3k9ac	0	0.33968686645505375
emissionprobs	5	9	H3k9ac	1	0.6603131335449463
emissionprobs	6	0	H2az	0	0.7079499792333768
emissionprobs	6	0	H2az	1	0.2920500207666233
emissionprobs	6	1	H3k04me1	0	0.15594727141218934
emissionprobs	6	1	H3k04me1	1	0.8440527285878107
emissionprobs	6	2	H3k09me3	0	0.9974305662807095
emissionprobs	6	2	H3k09me3	1	0.0025694337192905445
emissionprobs	6	3	H3k27ac	0	0.9615524345477704
emissionprobs	6	3	H3k27ac	1	0.038447565452229666
emissionprobs	6	4	H3k27me3	0	0.9623220895190012
emissionprobs	6	4	H3k27me3	1	0.03767791048099872
